Entry	Signal peptide
Q9BXI9	SIGNAL 1..46; /evidence="ECO:0000269|PubMed:15340161"
Q9BXJ0	SIGNAL 1..15; /evidence="ECO:0000269|PubMed:15340161"
Q9BXJ3	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:21658842"
Q9BXJ7	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:14576052"
Q9BYZ8	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:15340161"
Q9BZM5	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:11444831"
Q9BZR6	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:15340161"
Q9BZW8	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:10556801, ECO:0000269|PubMed:15340161"
Q9C0Y4	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:11298744"
Q9C9G4	SIGNAL 1..27; /evidence="ECO:0000269|PubMed:22506810"
Q9D6Y1	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:20043878"
Q9DF69	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:9049254"
Q9DGI0	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:11358523"
Q9EQX0	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:10930375"
Q9ERQ6	SIGNAL 1..30; /evidence="ECO:0000269|PubMed:7592931"
Q9ES58	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:10981966"
Q9FRV0	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:11999399, ECO:0000269|PubMed:7763659, ECO:0000269|PubMed:7764335"
Q9FRV1	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:14981295, ECO:0000269|PubMed:7763659, ECO:0000269|PubMed:7764543"
Q9FSH9	SIGNAL 1..33; /evidence="ECO:0000269|PubMed:11406286"
Q9FXT4	SIGNAL 1..55; /evidence="ECO:0000269|PubMed:12423882"
Q9GKK3	SIGNAL 1..15; /evidence="ECO:0000255, ECO:0000269|PubMed:12018413"
Q9GL30	SIGNAL 1..35; /evidence="ECO:0000269|PubMed:23934913"
Q9GQV7	SIGNAL 1..22; /evidence="ECO:0000269|Ref.3"
Q9GZM7	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:11170462, ECO:0000269|PubMed:15340161"
Q9GZV9	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:15340161"
Q9GZX6	SIGNAL 1..33; /evidence="ECO:0000269|PubMed:15340161"
Q9GZZ8	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:25946035"
Q9H1E1	SIGNAL 1..28; /evidence="ECO:0000269|PubMed:12244054"
Q9H1M4	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:15340161"
Q9H293	SIGNAL 1..32; /evidence="ECO:0000269|PubMed:15340161"
Q9H3T3	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:15340161"
Q9H5V8	SIGNAL 1..29; /evidence="ECO:0000269|PubMed:12660814, ECO:0000269|PubMed:16007225"
Q9H6E4	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:18087676"
Q9H7M9	SIGNAL 1..32; /evidence="ECO:0000269|PubMed:15340161"
Q9H9K5	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:28739914"
Q9HBE5	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:15340161"
Q9HC23	SIGNAL 1..27; /evidence="ECO:0000269|PubMed:15340161"
Q9HE18	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:11082184"
Q9JI59	SIGNAL 1..28; /evidence="ECO:0000269|PubMed:10779521"
Q9JJS8	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:10913141"
Q9JLA3	SIGNAL 1..42; /evidence="ECO:0000269|PubMed:10764828"
Q9JMI7	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:11207211"
Q9LRC8	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:10858442"
Q9LVC0	SIGNAL 1..28; /evidence="ECO:0000269|PubMed:11006345, ECO:0000269|PubMed:15322080"
Q9LXD6	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:16798843"
Q9M653	SIGNAL 1..39; /evidence="ECO:0000269|PubMed:10785398"
Q9M6E9	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:10636890"
Q9N2I2	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:2160449"
Q9N4D8	SIGNAL 1..17; /evidence="ECO:0000269|PubMed:16061202, ECO:0000269|PubMed:17564681"
Q9NAX4	SIGNAL 1..17; /evidence="ECO:0000269|PubMed:10564654"
Q9NBG9	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:12558995, ECO:0000269|PubMed:14632928"
Q9NII7	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:9354615"
Q9NJ98	SIGNAL 1..19; /evidence="ECO:0000255, ECO:0000269|PubMed:10713054"
Q9NL89	SIGNAL 1..16; /evidence="ECO:0000255, ECO:0000269|PubMed:10671539"
Q9NPA0	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:32439656, ECO:0007744|PubMed:25944712"
Q9NPF0	SIGNAL 1..35; /evidence="ECO:0000269|PubMed:15340161"
Q9NPG1	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:15340161"
Q9NPR2	SIGNAL 1..43; /evidence="ECO:0000269|PubMed:15340161"
Q9NQ25	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:15340161"
Q9NR16	SIGNAL 1..40; /evidence="ECO:0000269|PubMed:15340161"
Q9NR61	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:15340161"
Q9NRM6	SIGNAL 1..17; /evidence="ECO:0000269|PubMed:10749887, ECO:0000269|PubMed:15340161"
Q9NS68	SIGNAL 1..29; /evidence="ECO:0000269|PubMed:15340161"
Q9NSA1	SIGNAL 1..28; /evidence="ECO:0000269|PubMed:15340161"
Q9NWM8	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:15340161"
Q9NYY1	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:15340161"
Q9NZ53	SIGNAL 1..32; /evidence="ECO:0000269|PubMed:10722749"
Q9NZV1	SIGNAL 1..34; /evidence="ECO:0000269|PubMed:12805376, ECO:0000269|PubMed:15340161"
Q9P0V8	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:15340161"
Q9P0W0	SIGNAL 1..27; /evidence="ECO:0000269|PubMed:15340161"
Q9P121	SIGNAL 1..33; /evidence="ECO:0000269|PubMed:15340161"
Q9P246	SIGNAL 1..14; /evidence="ECO:0000269|PubMed:11463338"
Q9P2K2	SIGNAL 1..27; /evidence="ECO:0000255, ECO:0000269|PubMed:25122923"
Q9PTT2	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:14596590, ECO:0000269|PubMed:1989518"
Q9PVF4	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:11054123"
Q9PWF3	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:1176086"
Q9QXX3	SIGNAL 1..17; /evidence="ECO:0000269|PubMed:11019817"
Q9QYH7	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:10604470, ECO:0000269|PubMed:10801861"
Q9R100	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:10906147"
Q9R1T7	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:11006126"
Q9S7Y7	SIGNAL 1..27; /evidence="ECO:0000269|PubMed:9188482"
Q9SLY8	SIGNAL 1..29; /evidence="ECO:0000269|PubMed:14681440"
Q9SR37	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:12581307"
Q9SU40	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:12119380"
Q9SUQ8	SIGNAL 1..29; /evidence="ECO:0000269|PubMed:19946920"
Q9TSN6	SIGNAL 1..18; /evidence="ECO:0000269|Ref.5"
Q9TTE1	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:15647007, ECO:0000269|PubMed:16716310"
Q9TVX3	SIGNAL 1..28; /evidence="ECO:0000269|PubMed:9151979"
Q9TY95	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:18083098"
Q9U572	SIGNAL 1..14; /evidence="ECO:0000269|PubMed:9972292"
Q9U8W8	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:10468566"
Q9UAC8	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:10080355, ECO:0000269|PubMed:15695820"
Q9UAD0	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:22887697"
Q9UBD3	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:15340161"
Q9UBN6	SIGNAL 1..55; /evidence="ECO:0000269|PubMed:15340161, ECO:0000269|PubMed:9382840"
Q9UBP4	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:15340161, ECO:0000269|PubMed:19838169"
Q9UBT3	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:10570958, ECO:0000269|PubMed:15340161"
Q9UBU3	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:10930375, ECO:0000269|PubMed:15340161"
Q9UHD0	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:15340161"
Q9UHF4	SIGNAL 1..29; /evidence="ECO:0000269|PubMed:15340161"
Q9UIB8	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:10698700"
Q9UIK5	SIGNAL 1..40; /evidence="ECO:0000269|PubMed:15340161"
Q9UK23	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:12058031"
Q9UK55	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:9689066"
Q9UKY0	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:12200435"
Q9UKZ9	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:15340161"
Q9UNE0	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:15340161"
Q9V496	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:8702812"
Q9VB68	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:21310954"
Q9VG55	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:12204246"
Q9VH14	SIGNAL 1..27; /evidence="ECO:0000269|PubMed:14567681"
Q9VMD9	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:7924982"
Q9VYX7	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:11106397"
Q9WVJ9	SIGNAL 1..27; /evidence="ECO:0000269|PubMed:17324935"
Q9XIV8	SIGNAL 1..29; /evidence="ECO:0000269|PubMed:10364388"
Q9XXV0	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:10066809"
Q9XYT4	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:11772404"
Q9Y240	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:9442024"
Q9Y251	SIGNAL 1..35; /evidence="ECO:0000269|PubMed:12713442"
Q9Y258	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:10488147"
Q9Y279	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:15340161"
Q9Y2I2	SIGNAL 1..28; /evidence="ECO:0000269|PubMed:15340161"
Q9Y4X3	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:10556532"
Q9Y5C1	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:15340161"
Q9Y5H9	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:12665801"
Q9Y5Q6	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:15340161"
Q9Y5U5	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:15340161"
Q9Y624	SIGNAL 1..27; /evidence="ECO:0000269|PubMed:12665801, ECO:0000269|PubMed:15340161, ECO:0000269|PubMed:7646439, ECO:0007744|PubMed:25944712"
Q9Y653	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:15340161"
Q9Y6C2	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:26462740"
Q9YGP1	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:10417338"
Q9YH85	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:9079715"
Q9Z0J8	SIGNAL 1..31; /evidence="ECO:0000269|PubMed:10075727"
Q9Z0K8	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:8934567"
Q9Z0L3	SIGNAL 1..17; /evidence="ECO:0000269|PubMed:9860971"
Q9Z1K9	SIGNAL 1..17; /evidence="ECO:0000269|PubMed:26479776"
Q9ZT64	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:7724669"
Q9ZWA9	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:12417707, ECO:0000269|PubMed:14688293"
U3FAE1	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:31877243"
U6BLZ9	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:24211368"
V5NC32	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:17227387"
W8E7D1	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:25079051"
X2JCV5	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:25009089"
X2L4E2	SIGNAL <1..11; /evidence="ECO:0000269|PubMed:29024770"
A0A024BTN9	SIGNAL <1..3; /evidence="ECO:0000269|PubMed:18444672"
A0A0F7YZQ7	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:26301480"
A0A0R4I951	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:23148443"
A0A161AT60	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:27137920"
A0A1S6EK91	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:28359256"
A0A2I8B346	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:29338238"
A0A2I8B352	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:29338238"
A0A2I8B353	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:29338238"
A1BQQ5	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:17042501, ECO:0000269|PubMed:18235980"
A1IKL2	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:18618144"
A1IVR8	SIGNAL <1..2; /evidence="ECO:0000269|Ref.2"
A1X158	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:15203964, ECO:0000269|PubMed:19584055"
A1X159	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:19584055"
A2AEP0	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:8529023"
A2SY66	SIGNAL <1..19; /evidence="ECO:0000269|PubMed:17548373"
A6MEY4	SIGNAL 1..27; /evidence="ECO:0000269|PubMed:17383773"
A8CG78	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:17611171"
A8CG82	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:17611171"
A8CG89	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:17611171"
A8CG90	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:17611171"
A8QL58	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:18180850"
A8Y7P1	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:23428970"
B0FHH8	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:18343500"
B0KZK1	SIGNAL 1..21; /evidence="ECO:0000255, ECO:0000269|PubMed:22292590"
B0XRV0	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:9045640"
B1B5I8	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:18243416"
B1P0S1	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:15716269, ECO:0000269|PubMed:18225917"
B2KNH9	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:19495769"
B2NHN2	SIGNAL 1..20; /evidence="ECO:0000269|Ref.1"
B3EWP3	SIGNAL <1..25; /evidence="ECO:0000269|PubMed:26037551"
B3EWP4	SIGNAL <1..32; /evidence="ECO:0000269|PubMed:26037551"
B3EWY1	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:23142506"
B4FZ87	SIGNAL 1..31; /evidence="ECO:0000269|PubMed:15980188"
B5U6Y4	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:23747272"
B5U6Z2	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:19351557"
B6RLX2	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:18582511"
B7SNV8	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:19233226"
B8M9H9	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:15006424"
B8PYF3	SIGNAL 1..23; /evidence="ECO:0000255, ECO:0000269|PubMed:18817975"
C0HJQ4	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:25792741"
C0HJQ8	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:25792741"
C0HJZ1	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:26037551"
C0HKC2	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:28633930"
C0HKC3	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:28633930"
C0HKG0	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:21596752"
C0HKG1	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:21596752"
C0HL38	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:28497266"
C1IC47	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:18405934, ECO:0000269|PubMed:9080571"
C1IC49	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:18405934"
C4NZN9	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:19487032"
C5J887	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:19379768"
C5P3X6	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:16177346"
C7B247	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:28941793"
D0UGJ0	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:22480909"
D1MGU0	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:21256857"
D1MGU1	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:21256857"
D3JXM1	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:21466856, ECO:0000269|Ref.3"
D7UQ40	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:18256508"
E0D877	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:17244540"
E0XKJ9	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:20608917"
E6Y8S8	SIGNAL 1..27; /evidence="ECO:0000269|PubMed:21462324"
E7BLC7	SIGNAL 1..17; /evidence="ECO:0000269|PubMed:22819772"
E7D082	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:21969612, ECO:0000269|Ref.2"
E9NX73	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:21645012, ECO:0000269|PubMed:29306152"
F1AWB0	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:20969885"
F1CGT6	SIGNAL 1..17; /evidence="ECO:0000269|PubMed:21329715"
F1N2K1	SIGNAL 1..31; /evidence="ECO:0000269|PubMed:10585463"
F7J1C8	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:21653698"
G1CWH1	SIGNAL 1..28; /evidence="ECO:0000269|PubMed:21596752"
G1CWH3	SIGNAL 1..28; /evidence="ECO:0000269|PubMed:21596752"
G1CWH5	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:21596752"
G1CWH6	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:21596752"
G1CWH8	SIGNAL 1..28; /evidence="ECO:0000269|PubMed:21596752"
G3MYZ3	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:26902720"
G4V4F9	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:21888974"
G5EC68	SIGNAL 1..17; /evidence="ECO:0000269|PubMed:11772394"
G8YYA5	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:22484288"
G8YYA6	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:22484288"
I6RU32	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:22595790"
I6S7G5	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:22595790"
K9MCH1	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:23438486"
K9N7B7	SIGNAL <1..2; /evidence="ECO:0000269|PubMed:19863078"
L7VIN3	SIGNAL 1..23; /evidence="ECO:0000269|Ref.1"
L8BRS3	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:23284650"
M5AXY1	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:2015342"
O00100	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:9925554"
O02826	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:8117114"
O11780	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:9061001"
O18994	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:9271255"
O22317	SIGNAL 1..28; /evidence="ECO:0000269|PubMed:22162266"
O35806	SIGNAL 1..35; /evidence="ECO:0000269|PubMed:26479776"
O42720	SIGNAL 1..32; /evidence="ECO:0000269|PubMed:9489665"
O46162	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:9475173"
O46167	SIGNAL 1..17; /evidence="ECO:0000269|PubMed:9589602"
O46168	SIGNAL 1..17; /evidence="ECO:0000269|PubMed:9589602"
O48818	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:9188482"
O55245	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:12228058"
O59896	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:8919775"
O62680	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:7533195"
O64393	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:8838588"
O70280	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:7665628"
O75596	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:19173304"
O75711	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:15340161"
O76942	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:9723921"
O80323	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:8232200"
O82337	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:11006345, ECO:0000269|PubMed:15322080"
O93233	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:9230137, ECO:0000269|PubMed:9677367"
O93426	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:9153205, ECO:0000269|PubMed:9657980"
O93427	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:9153205, ECO:0000269|PubMed:9657980"
O96910	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:9604313"
P00623	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:873920"
P00651	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:5144355"
P00705	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:5138644, ECO:0000269|PubMed:7068576"
P00716	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:497176"
P00987	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:624701"
P00989	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:7096304, ECO:0000269|PubMed:7945237"
P00991	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:6639951"
P00992	SIGNAL 1..24; /evidence="ECO:0000269|Ref.2"
P00996	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:5769997"
P01038	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:6662498, ECO:0000269|PubMed:6712597"
P01068	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:1112827"
P01070	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:3905784, ECO:0000269|PubMed:4734969, ECO:0000269|PubMed:8318586"
P01086	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:11271488, ECO:0000269|PubMed:6178623, ECO:0000269|PubMed:6345537"
P01088	SIGNAL 1..28; /evidence="ECO:0000269|PubMed:6610678"
P01168	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:2567292, ECO:0000269|PubMed:2865169"
P01170	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:2887572"
P01174	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:6955785"
P01177	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:13022701"
P01217	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:5101174"
P01218	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:2456202, ECO:0000269|PubMed:4676903, ECO:0000269|PubMed:5064343, ECO:0000269|PubMed:6798968"
P01224	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:1245181"
P01228	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:658036"
P01232	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:4770795"
P01235	SIGNAL 1..27; /evidence="ECO:0000269|PubMed:607993"
P01245	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:965151"
P01268	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:4522780"
P01295	SIGNAL 1..27; /evidence="ECO:0000269|PubMed:2297533, ECO:0000269|PubMed:7215543"
P01313	SIGNAL 1..24; /evidence="ECO:0000269|Ref.2"
P01318	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:13249948"
P01335	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:7037403"
P01342	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:1097441"
P01359	SIGNAL <1..21; /evidence="ECO:0000269|PubMed:2857575"
P01379	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:4616684"
P01404	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:4203470"
P01442	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:849468"
P01443	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:8448165, ECO:0000269|PubMed:849468, ECO:0000269|PubMed:992063"
P01480	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:428402"
P01491	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:1122130"
P01493	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:4460885"
P01494	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:4460885"
P01495	SIGNAL <1..16; /evidence="ECO:0000269|PubMed:1371253, ECO:0000269|Ref.4"
P01614	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:5586923"
P01624	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:60899"
P01703	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:4814727"
P01714	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:4909564"
P01715	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:3103603, ECO:0000269|PubMed:4435717, ECO:0000269|PubMed:4883841"
P01717	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:418804"
P01718	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:5549568"
P01743	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:3084950, ECO:0000269|PubMed:7737190"
P01762	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:809331"
P01763	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:6410398"
P01766	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:65324"
P01767	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:416441"
P01780	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:4522793, ECO:0000269|PubMed:4803843, ECO:0000269|PubMed:7737190"
P01782	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:114209"
P01817	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:5264153, ECO:0000269|PubMed:6780622"
P01824	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:6806818"
P01825	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:407927"
P02229	SIGNAL 1..15; /evidence="ECO:0000269|PubMed:761849"
P02659	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:188805, ECO:0000269|PubMed:7012793, ECO:0000269|PubMed:988817"
P02669	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:4605338"
P02670	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:16386026"
P02681	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:504251, ECO:0000269|PubMed:985525"
P02704	SIGNAL <1..11; /evidence="ECO:0000269|PubMed:6691986, ECO:0000269|PubMed:7075593, ECO:0000269|PubMed:7417313"
